Port Loko,309307230,Bombali,path
Port Loko,307184005,Tonkolili,track
Port Loko,299282106,Western Area Rural,unclassified
Port Loko,238566419,Kambia,unclassified
Port Loko,307254183,Tonkolili,path
Port Loko,303654397,Bombali,unclassified
Port Loko,299255129,Western Area Rural,track
Bonthe,302354046,Pujehun,path
Bonthe,302354046,Bo,path
Bo,302354046,Bonthe,path
Bo,302354046,Pujehun,path
Pujehun,302354046,Bo,path
Bonthe,189800832,Moyamba,unclassified
Bonthe,189800833,Moyamba,unclassified
Bonthe,189800831,Moyamba,unclassified
Bonthe,189800835,Moyamba,unclassified
Bonthe,189013743,Moyamba,secondary
Bonthe,304211508,Moyamba,tertiary
Bonthe,304211508,Bo,tertiary
Bo,304211508,Bonthe,tertiary
Moyanmba,304211508,Bo,tertiary
Bo,304211508,Moyamba,tertiary
Bonthe,288984188,Moyamba,residential
Bonthe,193083605,Bo,tertiary
Bonthe,288984212,Moyamba,residential
Bonthe,197960689,Moyamba,unclassified
Bonthe,244384208,Moyamba,unclassified
Bonthe,244384202,Moyamba,unclassified
Bonthe,206275014,Bo,unclassified
Bonthe,198486606,Moyamba,unclassified
Bonthe,198486601,Moyamba,unclassified
Bonthe,198486602,Moyamba,unclassified
Bonthe,297187724,Bo,secondary
Bonthe,206375900,Bo,unclassified
Bonthe,302354058,Bo,path
Bonthe,189158833,Moyamba,secondary
Bonthe,297712102,Pujehun,unclassified
Bonthe,189800818,Moyamba,unclassified
Bonthe,288984191,Moyamba,residential
Bonthe,189800823,Moyamba,unclassified
Bonthe,189800820,Moyamba,unclassified
Bonthe,189158829,Moyamba,secondary
Bonthe,297391928,Moyamba,unclassified
Bonthe,193083613,Bo,unclassified
Pujehun,302354046,Bonthe,path
Pujehun,292230137,Kenema,unclassified
Pujehun,292320833,Kenema,unclassified
Pujehun,193610045,Kenema,unclassified
Pujehun,193610041,Kenema,secondary
Pujehun,193610514,Kenema,unclassified
Pujehun,175325580,Bo,unclassified
Pujehun,302354062,Bo,path
Pujehun,302354017,Bo,path
Pujehun,292214454,Kenema,unclassified
Pujehun,302348824,Bo,primary
Pujehun,208247304,Bo,tertiary
Pujehun,206375904,Bo,unclassified
Pujehun,206375903,Bo,unclassified
Pujehun,206375902,Bo,unclassified
Pujehun,39767319,Kenema,primary
Pujehun,297712102,Bonthe,unclassified
Pujehun,292320829,Kenema,unclassified
Pujehun,302348856,Bo,unclassified
Pujehun,198445760,Bo,unclassified
Pujehun,302348843,Bo,unclassified
Pujehun,302348844,Bo,unclassified
Moyamba,309125701,Port Loko,track
Moyamba,309125702,Port Loko,track
Moyamba,295151437,Bo,path
Moyamba,295151439,Bo,path
Moyamba,295151438,Bo,path
Moyamba,193114504,Bo,secondary
Moyamba,189182600,Bo,unclassified
Moyamba,306457971,Tonkolili,path
Moyamba,189800832,Bonthe,unclassified
Moyamba,189800833,Bonthe,unclassified
Moyamba,189800831,Bonthe,unclassified
Moyamba,176721390,Port Loko,tertiary
Moyamba,189800835,Bonthe,unclassified
Moyamba,295151442,Bo,path
Moyamba,189013743,Bonthe,secondary
Moyamba,304211508,Bonthe,tertiary
Moyamba,306346044,Tonkolili,path
Moyamba,189795960,Bo,unclassified
Moyamba,295523105,Bo,path
Moyamba,295523103,Bo,path
Moyamba,288984188,Bonthe,residential
Moyamba,189795959,Bo,unclassified
Moyamba,296682136,Bo,path
Moyamba,307786770,Port Loko,track
Moyamba,299341381,Tonkolili,unclassified
Moyamba,288984212,Bonthe,residential
Moyamba,232277778,Bo,track
Moyamba,197960689,Bonthe,unclassified
Moyamba,244384208,Bonthe,unclassified
Moyamba,244384202,Bonthe,unclassified
Moyamba,189182615,Bo,unclassified
Moyamba,295907390,Tonkolili,unclassified
Moyamba,198486606,Bonthe,unclassified
Moyamba,198486601,Bonthe,unclassified
Moyamba,229722377,Tonkolili,secondary
Moyamba,198486602,Bonthe,unclassified
Moyamba,303957348,Bo,unclassified
Moyamba,306466909,Tonkolili,path
Moyamba,299286051,Port Loko,unclassified
Moyamba,229769497,Bo,trunk
Moyamba,189158833,Bonthe,secondary
Moyamba,275134696,Tonkolili,unclassified
Moyamba,289517057,Tonkolili,trunk
Moyamba,189800818,Bonthe,unclassified
Moyamba,299341397,Tonkolili,unclassified
Moyamba,307786766,Port Loko,track
